"uri","answering body","answer > is ministerial correction","answer > date of answer","answer > answer text","answer > answering member constituency","answer > answering member printed","answer > grouped question UIN","answer > question first answered","answer > uri","answer > answering member","answer > answering member > uri","answer > uri","answer > attachment > file name","answer > attachment > title","answer > uri","answer > previous answer version > answering member constituency","answer > previous answer version > answering member printed","answer > previous answer version > uri","answer > previous answer version > answering member > label","answering dept id","answering dept short name","answering dept sort name","date","hansard heading","house id","legislature > pref label","question text","registered interest","tabling member","tabling member > uri","tabling member constituency","tabling member printed","uin"
"http://data.parliament.uk/resources/1721931","Foreign, Commonwealth and Development Office","false","2024-07-23","<p>As the Foreign Secretary announced on 19 July, UNRWA is absolutely central to humanitarian efforts on Gaza. It also plays a critical role in the wider region in providing essential services, including healthcare and education, to Palestinian refugees. The UK is committed to supporting UNRWA's lifesaving work, and will resume funding, releasing £21 million new funding for its work in Gaza and the region.</p>","Lincoln","Mr Hamish Falconer",,"2024-07-23T11:27:07.563Z","http://data.parliament.uk/resources/1721931/answer","5148","http://data.parliament.uk/members/5148","http://data.parliament.uk/resources/1721931/answer",,,"http://data.parliament.uk/resources/1721931/answer",,,,,"208","Foreign, Commonwealth and Development Office","Foreign, Commonwealth and Development Office","2024-07-18","UNRWA: Finance
","1","House of Commons","To ask the Secretary of State for Foreign, Commonwealth and Development Affairs, if he will resume funding for the UN Relief and Works Agency.","false","5234","http://data.parliament.uk/members/5234","Birmingham Northfield","Laurence Turner","756"
"http://data.parliament.uk/resources/1721933","Department of Health and Social Care","false",,"<p>The Department of Health and Social Care has indicated that it will not be possible to answer this question within the usual time period. An answer is being prepared and will be provided as soon as it is available.</p>","Bristol South","Karin Smyth",,,"http://data.parliament.uk/resources/1721933/answer","Biography information for Karin Smyth","http://data.parliament.uk/members/4444","http://data.parliament.uk/resources/1721933/answer",,,"http://data.parliament.uk/resources/1721933/answer",,,,,"17","Health and Social Care","Health and Social Care","2024-07-18","Coronavirus: Vaccination","1","House of Commons","To ask the Secretary of State for Health and Social Care, what recent assessment his Department has made of the potential risk of people with partial trisomy experiencing heart complications following an mRNA vaccine; and if his Department will take steps to ensure that the decision of Mr Justice Hayden in the Court of Protection is communicated to all health service professionals.","false","Biography information for Sir Christopher Chope","http://data.parliament.uk/members/242","Christchurch","Sir Christopher Chope","594"
"http://data.parliament.uk/resources/1721956","Department for Business and Trade","false","2024-07-23","<p>The Government is committed to ensuring justice and financial redress is delivered as swiftly as possible for postmasters affected by the Horizon IT Scandal, whether that is through the redress schemes that are already operating or the new scheme which we intend to launch before the end of this month for those whose convictions have been overturned by the Post Office (Horizon System) Offences Act and the Post Office (Horizon System) Offences (Scotland) Act.</p>","Harrow West","Gareth Thomas",,"2024-07-23T08:51:14.493Z","http://data.parliament.uk/resources/1721956/answer","Biography information for Gareth Thomas","http://data.parliament.uk/members/177","http://data.parliament.uk/resources/1721956/answer",,,"http://data.parliament.uk/resources/1721956/answer",,,,,"214","Business and Trade","Business and Trade","2024-07-18","Horizon IT System: Compensation","1","House of Commons","To ask the Secretary of State for Business and Trade, what his expected timetable is for when sub-postmasters impacted by the Horizon IT System will start receiving letters on compensation entitlements.","false","Biography information for Sarah Dyke","http://data.parliament.uk/members/4995","Glastonbury and Somerton","Sarah Dyke","718"
"http://data.parliament.uk/resources/1721957","Department for Transport","false","2024-07-23","<p>We have committed to expanding Pay As You Go (PAYG) contactless ticketing to a further 47 stations in the South East by the end of the year, with 6 stations on the Chiltern railways line having already gone live in June.  This expansion will include the entire c2c network where passengers will benefit from a better ticketing offer. Further details of any wider expansion of PAYG will be announced in due course.</p><p> </p>","Wakefield and Rothwell","Simon Lightwood",,"2024-07-23T14:58:46.01Z","http://data.parliament.uk/resources/1721957/answer","Biography information for Simon Lightwood","http://data.parliament.uk/members/4943","http://data.parliament.uk/resources/1721957/answer",,,"http://data.parliament.uk/resources/1721957/answer",,,,,"27","Transport","Transport","2024-07-18","Abellio Greater Anglia and c2c: Tickets","1","House of Commons","To ask the Secretary of State for Transport, what her planned timetable is for the expansion of contactless ticketing to (a) C2C and (b) Greater Anglia services.","false","Biography information for Mr Richard Holden","http://data.parliament.uk/members/4813","Basildon and Billericay","Mr Richard Holden","703"
"http://data.parliament.uk/resources/1721959","Department for Transport","false","2024-07-23","<p>The latest rounds of the Safer Roads Fund are rounds 3A and 3B. Round 3A was funded in April 2023 to the total of £47.5 million and was granted to 25 Local Authorities to improve 27 roads. Round 3B was funded in March 2024 to the total of £38.3 million and was granted to 14 Local Authorities to improve 17 roads.</p><p>As Round 3 is still newly funded, local authorities are in the design phase of their schemes. Estimated completion dates are submitted to the Department as part of the Local Authorities' application process with most of round 3 schemes stating 2-3 years from design stage to completion. This would predict between 2025 and 2026 for completion.</p><p>The Department estimates that groundworks on many of the schemes will begin soon and Department officials will remain in contact with the local authorities, offering support throughout the lifetime of their scheme.</p><p> </p>","Nottingham South","Lilian Greenwood",,"2024-07-23T10:44:56.783Z","http://data.parliament.uk/resources/1721959/answer","Biography information for Lilian Greenwood","http://data.parliament.uk/members/4029","http://data.parliament.uk/resources/1721959/answer",,,"http://data.parliament.uk/resources/1721959/answer",,,,,"27","Transport","Transport","2024-07-18","Roads: Safety","1","House of Commons","To ask the Secretary of State for Transport, what recent estimate she has made of when each project funded through the most recent round of Safer Roads Funding will be completed.","false","Biography information for Mr Richard Holden","http://data.parliament.uk/members/4813","Basildon and Billericay","Mr Richard Holden","705"
"http://data.parliament.uk/resources/1721966","Department for Business and Trade","false","2024-07-23","<p>Eligible retail, hospitality and leisure properties currently benefit from 75 per cent business rates relief, up to a cash cap of £110,000 per business for 2024-25. The small business multiplier is frozen at 49.9p for 2024/25.</p><p> </p><p>The government identified that the current business rates system disincentivises investment, creates uncertainty and places an undue burden on our high streets. In England, the government will replace the business rates system, so we can raise the same revenue but in a fairer way.</p><p> </p><p>We will establish Skills England, a new partnership with employers at its heart and reform the apprenticeship levy, a key ask of hospitality businesses.</p><p> </p><p>The English Devolution Bill will establish a new framework for English devolution. It will give local leaders the tools they need to drive growth, including empowering communities with a strong new ‘right to buy’ for valued community assets, such as empty shops and pubs.</p>","Harrow West","Gareth Thomas",,"2024-07-23T08:35:30.977Z","http://data.parliament.uk/resources/1721966/answer","Biography information for Gareth Thomas","http://data.parliament.uk/members/177","http://data.parliament.uk/resources/1721966/answer",,,"http://data.parliament.uk/resources/1721966/answer",,,,,"214","Business and Trade","Business and Trade","2024-07-18","Public Houses: Rural Areas","1","House of Commons","To ask the Secretary of State for Business and Trade, what steps he is taking to help support pubs in rural areas.","false","Biography information for Sir John Hayes","http://data.parliament.uk/members/350","South Holland and The Deepings","Sir John Hayes","595"
"http://data.parliament.uk/resources/1721972","Department of Health and Social Care","false","2024-07-23","<p>Pancreatic cancer is the deadliest common cancer, and earlier diagnosis is imperative in improving treatment options and survivorship. The Government is committed to improving early diagnosis rates for all cancers, and as part of this, supports the NHS Long Term Plan, which includes a principal priority to increase the proportion of cancers diagnosed at stages 1 and 2 to 75% by 2028. This threshold is key to improving outcomes and survival rates for all types of cancer, including pancreatic.</p><p>We know that pancreatic cancer is difficult to diagnose due to the non-specific nature of its symptoms. To improve diagnosis and outcomes, NHS England is delivering a range of interventions including implementing non-specific symptom pathways for patients who have symptoms that do not align to a tumour type, as is often the case with pancreatic cancer. 96 pathways are in place, and more are being introduced. NHS England is also increasing general practice direct access to diagnostic tests, alongside providing a route into pancreatic cancer surveillance for those at inherited high-risk, to identify lesions before they develop into cancer, and diagnose cancers sooner.</p><p>Additionally, NHS England’s Getting it Right First Time programme has appointed a team of five specialist clinicians to lead a national review into services for pancreatic cancer patients in England. The new workstream supports the delivery of the Optimal Care Pathway, a Pancreatic Cancer UK-led initiative which has brought together 300 health professionals and people affected to agree on how standards of diagnosis, treatment, and care of those with pancreatic cancer and their families can be improved.</p>","Gorton and Denton","Andrew Gwynne",,"2024-07-23T15:20:25.29Z","http://data.parliament.uk/resources/1721972/answer","Biography information for Andrew Gwynne","http://data.parliament.uk/members/1506","http://data.parliament.uk/resources/1721972/answer",,,"http://data.parliament.uk/resources/1721972/answer",,,,,"17","Health and Social Care","Health and Social Care","2024-07-18","Pancreatic Cancer: Diagnosis","1","House of Commons","To ask the Secretary of State for Health and Social Care, if he will take steps to improve early diagnosis rates for pancreatic cancer.","false","Biography information for Sir John Hayes","http://data.parliament.uk/members/350","South Holland and The Deepings","Sir John Hayes","598"
"http://data.parliament.uk/resources/1721973","Department for Transport","false","2024-07-22","<p>The Driver and Vehicle Licensing Agency is currently analysing the responses to the call for evidence and a response will be published in due course.</p><p> </p>","Nottingham South","Lilian Greenwood",,"2024-07-22T15:21:11.183Z","http://data.parliament.uk/resources/1721973/answer","Biography information for Lilian Greenwood","http://data.parliament.uk/members/4029","http://data.parliament.uk/resources/1721973/answer",,,"http://data.parliament.uk/resources/1721973/answer",,,,,"27","Transport","Transport","2024-07-18","Motor Vehicles: Registration","1","House of Commons","To ask the Secretary of State for Transport, when she plans to respond to the call for evidence entitled Registering historic, classic, rebuilt vehicles and vehicles converted to electric: call for evidence which closed on 4 July 2024.","false","Biography information for Greg Smith","http://data.parliament.uk/members/4778","Mid Buckinghamshire","Greg Smith","684"
"http://data.parliament.uk/resources/1721988","Department for Business and Trade","false","2024-07-23","<p>Employee thresholds used by this department to classify micro, small and medium-sized firms are shown in the table below:</p><table><tbody><tr><td><p><strong>Type of firm</strong></p></td><td><p><strong>Employee threshold</strong></p></td></tr><tr><td><p>Micro</p></td><td><p>0 to 9 employees</p></td></tr><tr><td><p>Small</p></td><td><p>10 to 49 employees</p></td></tr><tr><td><p>Medium</p></td><td><p>50 to 249 employees</p></td></tr></tbody></table>","Harrow West","Gareth Thomas",,"2024-07-23T13:10:30.777Z","http://data.parliament.uk/resources/1721988/answer","Biography information for Gareth Thomas","http://data.parliament.uk/members/177","http://data.parliament.uk/resources/1721988/answer",,,"http://data.parliament.uk/resources/1721988/answer",,,,,"214","Business and Trade","Business and Trade","2024-07-18","Small Businesses","1","House of Commons","To ask the Secretary of State for Business and Trade, what employee thresholds his Department uses to classify what is a (a) micro, (b) small and (c) medium sized firm.","false","Biography information for Jerome Mayhew","http://data.parliament.uk/members/4739","Broadland and Fakenham","Jerome Mayhew","676"
"http://data.parliament.uk/resources/1721990","Department for Business and Trade","false","2024-07-23","<p>The Acas statutory Code of Practice on disciplinary and grievance procedures provides basic practical guidance to employers, employees and their representatives and sets out principles for handling disciplinary and grievance situations in the workplace. As part of our Plan to Make Work Pay we will work with Acas to consider whether there is a need to update procedures in this area.</p>","Ellesmere Port and Bromborough","Justin Madders",,"2024-07-23T13:46:29.157Z","http://data.parliament.uk/resources/1721990/answer","Biography information for Justin Madders","http://data.parliament.uk/members/4418","http://data.parliament.uk/resources/1721990/answer",,,"http://data.parliament.uk/resources/1721990/answer",,,,,"214","Business and Trade","Business and Trade","2024-07-18","Grievance Procedures","1","House of Commons","To ask the Secretary of State for Business and Trade, whether he has plans to simplify the process for employees to raise grievances against (a) their employer and (b) fellow staff.","false","Biography information for Jerome Mayhew","http://data.parliament.uk/members/4739","Broadland and Fakenham","Jerome Mayhew","678"
